Protocol_Animal,drug,Group,dosage,days_treatment,dose_interval,lung_efficacy_log,spleen_efficacy_log
A,"NA",PreRX,"NA",0,Pre Rx 9 week,8.97000000009447,NA
A,RBT,5,10,20,M-F,5.0463000196529695,NA
A,RBT,5,10,40,M-F,6.856599972164951,NA
A,RIF,2,10,20,M-F,7.678099998427802,NA
A,RIF,2,10,40,M-F,3.439332693830263,NA
A,RIF,3,20,20,M-F,7.16690000478881,NA
A,RIF,3,20,40,M-F,7.1103000167144454,NA
A,RPT,4,10,20,M-F,2.5118833609788744,NA
A,RPT,4,10,40,M-F,3.7403626894942437,NA
A,Untr,1,"NA",0,4 wk,8.460999999644612,NA
A,Untr,1,"NA",0,8 wk,6.685200010267665,NA
B,"NA",PreRX,"NA",0,Pre Rx 9 week,8.359999999475296,NA
B,RBT,5,10,20,M-F,3.9541942518158626,NA
B,RBT,5,10,40,M-F,2.6989700043360187,NA
B,RIF,2,10,20,M-F,7.239100008303251,NA
B,RIF,2,10,40,M-F,7,NA
B,RIF,3,20,20,M-F,6.013400177575607,NA
B,RIF,3,20,40,M-F,6.62519995206309,NA
B,RPT,4,10,20,M-F,4.9165013235457256,NA
B,RPT,4,10,40,M-F,6.670899957097536,NA
B,Untr,1,"NA",0,4 wk,8.355199999039108,NA
B,Untr,1,"NA",0,8 wk,7.355200008623274,NA
C,"NA",PreRX,"NA",0,Pre Rx 9 week,8.419999999687045,NA
C,RBT,5,10,20,M-F,4.860302063471377,NA
C,RBT,5,10,40,M-F,2.2041199826559246,NA
C,RIF,2,10,20,M-F,6.883999996079501,NA
C,RIF,2,10,40,M-F,7.29069999731468,NA
C,RIF,3,20,20,M-F,6.210900132971654,NA
C,RIF,3,20,40,M-F,6.784900026838808,NA
C,RPT,4,10,20,M-F,3.0511525224473814,NA
C,RPT,4,10,40,M-F,1.6020599913279623,NA
C,Untr,1,"NA",0,4 wk,8.135800000570626,NA
C,Untr,1,"NA",0,8 wk,6.795900029172732,NA
D,"NA",PreRX,"NA",0,Pre Rx 9 week,8.319999999822475,NA
D,RBT,5,10,20,M-F,5.005399321193741,NA
D,RBT,5,10,40,M-F,7.384199994876433,NA
D,RIF,2,10,20,M-F,4.740402169016284,NA
D,RIF,2,10,40,M-F,6.265699913371119,NA
D,RIF,3,20,20,M-F,6.314400063622657,NA
D,RIF,3,20,40,M-F,3.7596678446896306,NA
D,RPT,4,10,20,M-F,2.5888317255942073,NA
D,RPT,4,10,40,M-F,2.3979400086720375,NA
D,Untr,1,"NA",0,4 wk,6.499200014956072,NA
D,Untr,1,"NA",0,8 wk,7.847000000071757,NA
E,"NA",PreRX,"NA",0,Pre Rx 9 week,6.959999981258934,NA
E,RBT,5,10,20,M-F,4.29558908899982,NA
E,RBT,5,10,40,M-F,6.7378999822802434,NA
E,RIF,2,10,20,M-F,7.865900000260887,NA
E,RIF,2,10,40,M-F,7.591800001838808,NA
E,RIF,3,20,20,M-F,3.1760912590556813,NA
E,RIF,3,20,40,M-F,3.3979400086720375,NA
E,RPT,4,10,20,M-F,4.7596980554288795,NA
E,RPT,4,10,40,M-F,2.6989700043360187,NA
E,Untr,1,"NA",0,4 wk,8.332100000542585,NA
E,Untr,1,"NA",0,8 wk,8.038899999004126,NA
F,"NA",PreRX,"NA",0,Pre Rx 9 week,8.929999999896737,NA
F,RBT,5,10,20,M-F,3.7782236267660965,NA
F,RBT,5,10,40,M-F,2.6766936096248664,NA
F,RIF,2,10,20,M-F,7.091400004244962,NA
F,RIF,2,10,40,M-F,6.219099931166923,NA
F,RIF,3,20,20,M-F,6.243000077280246,NA
F,RIF,3,20,40,M-F,3.88930170250631,NA
F,RPT,4,10,20,M-F,2.380211241711606,NA
F,RPT,4,10,40,M-F,2.0530784434834195,NA
F,Untr,1,"NA",0,4 wk,7.842199998859737,NA
F,Untr,1,"NA",0,8 wk,8.384200000255483,NA
G,"NA",PreRX,"NA",0,Pre Rx 9 week,8.150000001653272,NA
G,RBT,5,10,20,M-F,3.574031267727719,NA
G,RBT,5,10,40,M-F,2.829303772831025,NA
G,RIF,2,10,20,M-F,6.926199991140456,NA
G,RIF,2,10,40,M-F,4.653202862679622,NA
G,RIF,3,20,20,M-F,6.3010000283108445,NA
G,RIF,3,20,40,M-F,7.038899999004125,NA
G,RPT,4,10,20,M-F,2.8027737252919755,NA
G,RPT,4,10,40,M-F,2.6989700043360187,NA
G,Untr,1,"NA",0,4 wk,6.3698999816869835,NA
G,Untr,1,"NA",0,8 wk,8.135800000570626,NA
H,"NA",PreRX,"NA",0,Pre Rx 9 week,8.60000000048709,NA
H,RBT,5,10,20,M-F,3.720159303405957,NA
H,RBT,5,10,40,M-F,6.964700020043241,NA
H,RIF,2,10,20,M-F,6.725300005801212,NA
H,RIF,2,10,40,M-F,6.964700020043241,NA
H,RIF,3,20,20,M-F,4.837297969809842,NA
H,RIF,3,20,40,M-F,7.091400004244962,NA
H,RPT,4,10,20,M-F,4.130301597341845,NA
H,RPT,4,10,40,M-F,8.171499999981105,NA
H,Untr,1,"NA",0,4 wk,7.17150000583324,NA
H,Untr,1,"NA",0,8 wk,7.806599998219149,NA
I,RBT,5,10,20,M-F,6.148099902475269,NA
I,RBT,5,10,40,M-F,1.3979400086720377,NA
I,RIF,2,10,20,M-F,7.494899993939566,NA
I,RIF,2,10,40,M-F,5.926199888193297,NA
I,RIF,3,20,20,M-F,4.740402169016284,NA
I,RIF,3,20,40,M-F,3.0969100130080562,NA
I,RPT,4,10,20,M-F,4.021189299069938,NA
I,RPT,4,10,40,M-F,4.730402707603225,NA
J,RBT,5,10,20,M-F,6.287200016906728,NA
J,RBT,5,10,40,M-F,3.153814864344529,NA
J,RIF,2,10,20,M-F,7.29069999731468,NA
J,RIF,2,10,40,M-F,NA,NA
J,RIF,3,20,20,M-F,2.3979400086720375,NA
J,RIF,3,20,40,M-F,7.5262999952285154,NA
J,RPT,4,10,20,M-F,4.76900047863436,NA
J,RPT,4,10,40,M-F,3.2430380486862944,NA
