AREA,HOLE,r,theta,Y,X
RIM,R1,10,0,0,10
RIM,R1,10.1,0.008726646,0.088138009,10.09961542
RIM,R1,10.15,0.017453293,0.177141925,10.14845411
RIM,R1,10.125,0.026179939,0.265041602,10.12153042
RIM,R1,10.25,0.034906585,0.357719841,10.24375598
RIM,R1,10.35,0.043633231,0.451460659,10.34014909
RIM,R1,10.3,0.052359878,0.539060349,10.28588421
RIM,R1,10.25,0.061086524,0.62574753,10.23088168
RIM,R1,10.175,0.06981317,0.70977212,10.15021421
RIM,R1,10.2,0.078539816,0.800282776,10.1685568
RIM,R1,10.225,0.087266463,0.89116747,10.18609079
RIM,R1,10.3,0.095993109,0.987211251,10.25258084
RIM,R1,10.275,0.104719755,1.07402996,10.21871247
RIM,R1,10.12,0.113446401,1.145616523,10.05494718
RIM,R1,10.2,0.122173048,1.243067303,10.12397075
RIM,R1,10.075,0.130899694,1.315051387,9.988806978
RIM,R1,10.05,0.13962634,1.398689665,9.952194091
RIM,R1,10,0.148352986,1.478094111,9.890158634
RIM,R1,10.05,0.157079633,1.572166374,9.926267823
RIM,R1,10.075,0.165806279,1.662854629,9.936827435
RIM,R1,10.2,0.174532925,1.771211412,10.04503908
RIM,R1,10.25,0.183259571,1.867914136,10.0783628
RIM,R1,10.1,0.191986218,1.927170853,9.914434553
RIM,R1,10.175,0.200712864,2.028568733,9.97073387
RIM,R1,10.3,0.20943951,2.141490415,10.07492029
RIM,R1,10.325,0.218166156,2.234739014,10.08025627
RIM,R1,10.2,0.226892803,2.294500754,9.938574661
RIM,R1,10.225,0.235619449,2.386978845,9.942482436
RIM,R1,10.1,0.244346095,2.443411146,9.799986835
RIM,R1,10.05,0.253072742,2.516319041,9.729883786
RIM,R1,10.15,0.261799388,2.627013308,9.804147137
RIM,R1,10.175,0.270526034,2.719150477,9.804939861
RIM,R1,10.25,0.27925268,2.825282897,9.852932383
RIM,R1,10.35,0.287979327,2.939558818,9.923784256
RIM,R1,10.25,0.296705973,2.996809973,9.802123749
RIM,R1,10.225,0.305432619,3.0747168,9.751755821
RIM,R1,10.125,0.314159265,3.128797068,9.629447227
RIM,R1,10.175,0.322885912,3.228574879,9.649193192
RIM,R1,10.1,0.331612558,3.28823836,9.549737614
RIM,R1,10.075,0.340339204,3.363104107,9.497113023
RIM,R1,10,0.34906585,3.420201433,9.396926208
RIM,R1,10.1,0.357792497,3.537094551,9.460389111
RIM,R1,10.15,0.366519143,3.637434688,9.475841329
RIM,R1,10.125,0.375245789,3.710824921,9.420477876
RIM,R1,10.25,0.383972435,3.839717583,9.503634509
RIM,R1,10.35,0.392699082,3.960773525,9.562153161
RIM,R1,10.3,0.401425728,4.024530623,9.481199991
RIM,R1,10.25,0.410152374,4.087177956,9.399865762
RIM,R1,10.175,0.41887902,4.138545343,9.295325032
RIM,R1,10.2,0.427605667,4.229871075,9.281604963
RIM,R1,10.225,0.436332313,4.321271726,9.266997122
RIM,R1,10.3,0.445058959,4.434264297,9.296628429
RIM,R1,10.275,0.453785606,4.504263533,9.235108826
RIM,R1,10.12,0.462512252,4.515521869,9.056735739
RIM,R1,10.2,0.471238898,4.630703097,9.088266547
RIM,R1,10.075,0.479965544,4.652117278,8.936634144
RIM,R1,10.05,0.488692191,4.718189206,8.873623308
RIM,R1,10,0.497418837,4.771587603,8.788171127
RIM,R1,10.05,0.506145483,4.872336683,8.789928057
RIM,R1,10.075,0.514872129,4.961167368,8.768833637
RIM,R1,10.2,0.523598776,5.1,8.833459119
RIM,R1,10.25,0.532325422,5.20226822,8.831698895
RIM,R1,10.1,0.541052068,5.201884557,8.657389737
RIM,R1,10.175,0.549778714,5.316422896,8.675613672
RIM,R1,10.3,0.558505361,5.458168422,8.73489539
RIM,R1,10.325,0.567232007,5.547618456,8.708016678
RIM,R1,10.2,0.575958653,5.555318157,8.554439793
RIM,R1,10.225,0.584685299,5.643555675,8.526482531
RIM,R1,10.1,0.593411946,5.647848325,8.373279483
RIM,R1,10.05,0.602138592,5.692382681,8.282468196
RIM,R1,10.15,0.610865238,5.821800829,8.31439325
RIM,R1,10.175,0.619591884,5.908652574,8.283625399
RIM,R1,10.25,0.628318531,6.024798836,8.292424192
RIM,R1,10.35,0.637045177,6.156415843,8.319918507
RIM,R1,10.25,0.645771823,6.168603987,8.186013978
