ELEMENT,HOLE,X,Y
RIM,R1,-50,0
RIM,R1,-50.09961542,0.088138009
RIM,R1,-50.14845411,0.177141925
RIM,R1,-50.12153042,0.265041602
RIM,R1,-50.24375598,0.357719841
RIM,R1,-50.34014909,0.451460659
RIM,R1,-50.28588421,0.539060349
RIM,R1,-50.23088168,0.62574753
RIM,R1,-50.15021421,0.70977212
RIM,R1,-50.1685568,0.800282776
RIM,R1,-50.18609079,0.89116747
RIM,R1,-50.25258084,0.987211251
RIM,R1,-50.21871247,1.07402996
RIM,R1,-50.05494718,1.145616523
RIM,R1,-50.12397075,1.243067303
RIM,R1,-49.98880698,1.315051387
RIM,R1,-49.95219409,1.398689665
RIM,R1,-49.89015863,1.478094111
RIM,R1,-49.92626782,1.572166374
RIM,R1,-49.93682744,1.662854629
RIM,R1,-50.04503908,1.771211412
RIM,R1,-50.0783628,1.867914136
RIM,R1,-49.91443455,1.927170853
RIM,R1,-49.97073387,2.028568733
RIM,R1,-50.07492029,2.141490415
RIM,R1,-50.08025627,2.234739014
RIM,R1,-49.93857466,2.294500754
RIM,R1,-49.94248244,2.386978845
RIM,R1,-49.79998684,2.443411146
RIM,R1,-49.72988379,2.516319041
RIM,R1,-49.80414714,2.627013308
RIM,R1,-49.80493986,2.719150477
RIM,R1,-49.85293238,2.825282897
RIM,R1,-49.92378426,2.939558818
RIM,R1,-49.80212375,2.996809973
RIM,R1,-49.75175582,3.0747168
RIM,R1,-49.62944723,3.128797068
RIM,R1,-49.64919319,3.228574879
RIM,R1,-49.54973761,3.28823836
RIM,R1,-49.49711302,3.363104107
RIM,R1,-49.39692621,3.420201433
RIM,R1,-49.46038911,3.537094551
RIM,R1,-49.47584133,3.637434688
RIM,R1,-49.42047788,3.710824921
RIM,R1,-49.50363451,3.839717583
RIM,R1,-49.56215316,3.960773525
RIM,R1,-49.48119999,4.024530623
RIM,R1,-49.39986576,4.087177956
RIM,R1,-49.29532503,4.138545343
RIM,R1,-49.28160496,4.229871075
RIM,R1,-49.26699712,4.321271726
RIM,R1,-49.29662843,4.434264297
RIM,R1,-49.23510883,4.504263533
RIM,R1,-49.05673574,4.515521869
RIM,R1,-49.08826655,4.630703097
RIM,R1,-48.93663414,4.652117278
RIM,R1,-48.87362331,4.718189206
RIM,R1,-48.78817113,4.771587603
RIM,R1,-48.78992806,4.872336683
RIM,R1,-48.76883364,4.961167368
RIM,R1,-48.83345912,5.1
RIM,R1,-48.83169889,5.20226822
RIM,R1,-48.65738974,5.201884557
RIM,R1,-48.67561367,5.316422896
RIM,R1,-48.73489539,5.458168422
RIM,R1,-48.70801668,5.547618456
RIM,R1,-48.55443979,5.555318157
RIM,R1,-48.52648253,5.643555675
RIM,R1,-48.37327948,5.647848325
RIM,R1,-48.2824682,5.692382681
RIM,R1,-48.31439325,5.821800829
RIM,R1,-48.2836254,5.908652574
RIM,R1,-48.29242419,6.024798836
RIM,R1,-48.31991851,6.156415843
RIM,R1,-48.18601398,6.168603987
RIM,R1,-48.1120379,6.224585612
RIM,R1,-47.97860888,6.233572438
RIM,R1,-47.963038,6.334086428
RIM,R1,-47.84917421,6.35613595
RIM,R1,-47.77411768,6.408488069
RIM,R1,-47.66044443,6.427876097
RIM,R1,-47.68010025,6.559425288
RIM,R1,-47.66030224,6.658999144
RIM,R1,-47.58317667,6.709027988
RIM,R1,-47.61723446,6.858588715
RIM,R1,-47.63082044,6.992358649
RIM,R1,-47.53294313,7.024583109
RIM,R1,-47.4350873,7.055634401
RIM,R1,-47.31928247,7.068148919
RIM,R1,-47.27515458,7.149274496
RIM,R1,-47.23016684,7.230166838
RIM,R1,-47.21936542,7.346479626
RIM,R1,-47.13761476,7.391216448
RIM,R1,-46.96614831,7.340788635
RIM,R1,-46.95638327,7.459807757
RIM,R1,-46.80657134,7.428069168
RIM,R1,-46.72476259,7.468605496
RIM,R1,-46.62620048,7.489557208
