ELEMENT,HOLE,X,Y,
LUNGS,LU1,0.5,10,
LUNGS,LU1,0,10,
LUNGS,LU1,-0.5,10,
LUNGS,LU1,-0.5,5.5,
LUNGS,LU1,-1.2,4.65,
LUNGS,LU1,-1.3,4.6,
LUNGS,LU1,-1.4,7,
LUNGS,LU1,-1.7,7.8,
LUNGS,LU1,-2,8,
LUNGS,LU1,-2.2,8.1,
LUNGS,LU1,-2.4,8.05,
LUNGS,LU1,-2.7,8,
LUNGS,LU1,-3.1,7.9,
LUNGS,LU1,-3.5,7.75,
LUNGS,LU1,-3.9,7.55,
LUNGS,LU1,-4.3,7.35,
LUNGS,LU1,-4.7,7.1,
LUNGS,LU1,-5.1,6.85,
LUNGS,LU1,-5.5,6.5,
LUNGS,LU1,-5.9,6.2,
LUNGS,LU1,-6.3,5.8,
LUNGS,LU1,-6.7,5.3,
LUNGS,LU1,-7.1,4.75,
LUNGS,LU1,-7.5,4.1,
LUNGS,LU1,-7.9,3.3,
LUNGS,LU1,-8.3,2,
LUNGS,LU1,-8.7,0,
LUNGS,LU1,-9.1,-3,
LUNGS,LU1,-9,-6,
LUNGS,LU1,-8.9,-7.5,
LUNGS,LU1,-8.8,-8.25,
LUNGS,LU1,-8.6,-8.7,
LUNGS,LU1,-8.4,-8.9,
LUNGS,LU1,-8.2,-9,
LUNGS,LU1,-8,-9.1,
LUNGS,LU1,-7.8,-9,
LUNGS,LU1,-7.6,-8.9,
LUNGS,LU1,-7.4,-8.8,
LUNGS,LU1,-7.2,-8.7,
LUNGS,LU1,-7,-8.5,
LUNGS,LU1,-6.7,-8.25,
LUNGS,LU1,-6.5,-8,
LUNGS,LU1,-5,-6.3,
LUNGS,LU1,-4,-5.5,
LUNGS,LU1,-3.5,-5.25,
LUNGS,LU1,-3,-5,
LUNGS,LU1,-2.5,-4.4,
LUNGS,LU1,-2.1,-3,
LUNGS,LU1,-1.8,-2,
LUNGS,LU1,-1.4,0,
LUNGS,LU1,-1.3,3.1,
LUNGS,LU1,0,4.2,
LUNGS,LU1,1.3,3.1,
LUNGS,LU1,1.4,0,
LUNGS,LU1,1.8,-2,
LUNGS,LU1,2.1,-3,
LUNGS,LU1,2.5,-4.4,
LUNGS,LU1,3,-5,
LUNGS,LU1,3.5,-5.25,
LUNGS,LU1,4,-5.5,
LUNGS,LU1,5,-6.3,
LUNGS,LU1,6.5,-8,
LUNGS,LU1,6.7,-8.25,
LUNGS,LU1,7,-8.5,
LUNGS,LU1,7.2,-8.7,
LUNGS,LU1,7.4,-8.8,
LUNGS,LU1,7.6,-8.9,
LUNGS,LU1,7.8,-9,
LUNGS,LU1,8,-9.1,
LUNGS,LU1,8.2,-9,
LUNGS,LU1,8.4,-8.9,
LUNGS,LU1,8.6,-8.7,
LUNGS,LU1,8.8,-8.25,
LUNGS,LU1,8.9,-7.5,
LUNGS,LU1,9,-6,
